X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-121.94563,46.75454,0,0,123,,,,,,,,,,,,,,,,,,,,,,,
-121.94515,46.75435,0,0,124,,,,,,,,,,,,,,,,,,,,,,,
-121.94472,46.75415,0,0,125,,,,,,,,,,,,,,,,,,,,,,,
-121.94448,46.75403,0,0,126,,,,,,,,,,,,,,,,,,,,,,,
-121.94393,46.75371,0,0,127,,,,,,,,,,,,,,,,,,,,,,,
-121.94365,46.7535,0,0,128,,,,,,,,,,,,,,,,,,,,,,,
-121.94339,46.7533,0,0,129,,,,,,,,,,,,,,,,,,,,,,,
-121.9431,46.7531,0,0,130,,,,,,,,,,,,,,,,,,,,,,,
-121.94272,46.75278,0,0,131,,,,,,,,,,,,,,,,,,,,,,,
-121.94243,46.75256,0,0,132,,,,,,,,,,,,,,,,,,,,,,,
-121.94202,46.75227,0,0,133,,,,,,,,,,,,,,,,,,,,,,,
-121.94177,46.7521,0,0,134,,,,,,,,,,,,,,,,,,,,,,,
-121.9416,46.75199,0,0,135,,,,,,,,,,,,,,,,,,,,,,,
-121.94137,46.75186,0,0,136,,,,,,,,,,,,,,,,,,,,,,,
-121.94122,46.75179,0,0,137,,,,,,,,,,,,,,,,,,,,,,,
-121.94082,46.75163,0,0,138,,,,,,,,,,,,,,,,,,,,,,,
-121.94078,46.75161,0,0,139,,,,,,,,,,,,,,,,,,,,,,,
-121.94063,46.75156,0,0,140,,,,,,,,,,,,,,,,,,,,,,,
-121.94029,46.75147,0,0,141,,,,,,,,,,,,,,,,,,,,,,,
-121.94006,46.75141,0,0,142,,,,,,,,,,,,,,,,,,,,,,,
-121.93982,46.75137,0,0,143,,,,,,,,,,,,,,,,,,,,,,,
-121.93828,46.75117,0,0,144,,,,,,,,,,,,,,,,,,,,,,,
-121.93792,46.75112,0,0,145,,,,,,,,,,,,,,,,,,,,,,,
-121.93783,46.75111,0,0,146,,,,,,,,,,,,,,,,,,,,,,,
-121.9378,46.75111,0,0,147,,,,,,,,,,,,,,,,,,,,,,,
-121.93766,46.75109,0,0,148,,,,,,,,,,,,,,,,,,,,,,,
-121.93735,46.75105,0,0,149,,,,,,,,,,,,,,,,,,,,,,,
-121.93708,46.75102,0,0,150,,,,,,,,,,,,,,,,,,,,,,,
-121.93697,46.751,0,0,151,,,,,,,,,,,,,,,,,,,,,,,
-121.93656,46.75095,0,0,152,,,,,,,,,,,,,,,,,,,,,,,
-121.93613,46.7509,0,0,153,,,,,,,,,,,,,,,,,,,,,,,
-121.93596,46.75088,0,0,154,,,,,,,,,,,,,,,,,,,,,,,
-121.9351,46.75076,0,0,155,,,,,,,,,,,,,,,,,,,,,,,
-121.93446,46.75068,0,0,156,,,,,,,,,,,,,,,,,,,,,,,
-121.9342,46.75065,0,0,157,,,,,,,,,,,,,,,,,,,,,,,
-121.93397,46.75062,0,0,158,,,,,,,,,,,,,,,,,,,,,,,
-121.93223,46.7504,0,0,159,,,,,,,,,,,,,,,,,,,,,,,
-121.93132,46.75028,0,0,160,,,,,,,,,,,,,,,,,,,,,,,
-121.93108,46.75024,0,0,161,,,,,,,,,,,,,,,,,,,,,,,
-121.93102,46.75023,0,0,162,,,,,,,,,,,,,,,,,,,,,,,
-121.93031,46.75011,0,0,163,,,,,,,,,,,,,,,,,,,,,,,
-121.92966,46.74996,0,0,164,,,,,,,,,,,,,,,,,,,,,,,
-121.92955,46.74993,0,0,165,,,,,,,,,,,,,,,,,,,,,,,
-121.92791,46.74954,0,0,166,,,,,,,,,,,,,,,,,,,,,,,
-121.92753,46.74942,0,0,167,,,,,,,,,,,,,,,,,,,,,,,
-121.92738,46.74937,0,0,168,,,,,,,,,,,,,,,,,,,,,,,
-121.92722,46.74931,0,0,169,,,,,,,,,,,,,,,,,,,,,,,
-121.92706,46.74922,0,0,170,,,,,,,,,,,,,,,,,,,,,,,
-121.92687,46.7491,0,0,171,,,,,,,,,,,,,,,,,,,,,,,
-121.92676,46.74902,0,0,172,,,,,,,,,,,,,,,,,,,,,,,
-121.92661,46.7489,0,0,173,,,,,,,,,,,,,,,,,,,,,,,
-121.92605,46.74839,0,0,174,,,,,,,,,,,,,,,,,,,,,,,
-121.92581,46.74815,0,0,175,,,,,,,,,,,,,,,,,,,,,,,
-121.92531,46.74768,0,0,176,,,,,,,,,,,,,,,,,,,,,,,
-121.92508,46.74742,0,0,177,,,,,,,,,,,,,,,,,,,,,,,
-121.92476,46.74707,0,0,178,,,,,,,,,,,,,,,,,,,,,,,
-121.9247,46.74701,0,0,179,,,,,,,,,,,,,,,,,,,,,,,
-121.92448,46.74674,0,0,180,,,,,,,,,,,,,,,,,,,,,,,
-121.92436,46.74653,0,0,181,,,,,,,,,,,,,,,,,,,,,,,
-121.92421,46.74629,0,0,182,,,,,,,,,,,,,,,,,,,,,,,
-121.92403,46.746,0,0,183,,,,,,,,,,,,,,,,,,,,,,,
-121.92389,46.74573,0,0,184,,,,,,,,,,,,,,,,,,,,,,,
-121.92379,46.74546,0,0,185,,,,,,,,,,,,,,,,,,,,,,,
-121.92371,46.74515,0,0,186,,,,,,,,,,,,,,,,,,,,,,,
-121.92367,46.74496,0,0,187,,,,,,,,,,,,,,,,,,,,,,,
-121.92363,46.74452,0,0,188,,,,,,,,,,,,,,,,,,,,,,,
-121.92359,46.74428,0,0,189,,,,,,,,,,,,,,,,,,,,,,,
-121.92355,46.74413,0,0,190,,,,,,,,,,,,,,,,,,,,,,,
-121.9235,46.74399,0,0,191,,,,,,,,,,,,,,,,,,,,,,,
-121.9234,46.7438,0,0,192,,,,,,,,,,,,,,,,,,,,,,,
-121.92333,46.74368,0,0,193,,,,,,,,,,,,,,,,,,,,,,,
-121.92324,46.74355,0,0,194,,,,,,,,,,,,,,,,,,,,,,,
-121.92314,46.74343,0,0,195,,,,,,,,,,,,,,,,,,,,,,,
-121.92299,46.74328,0,0,196,,,,,,,,,,,,,,,,,,,,,,,
-121.92274,46.74308,0,0,197,,,,,,,,,,,,,,,,,,,,,,,
-121.92251,46.74292,0,0,198,,,,,,,,,,,,,,,,,,,,,,,
-121.92217,46.74274,0,0,199,,,,,,,,,,,,,,,,,,,,,,,
-121.92176,46.74257,0,0,200,,,,,,,,,,,,,,,,,,,,,,,
-121.92086,46.74219,0,0,201,,,,,,,,,,,,,,,,,,,,,,,
-121.92033,46.74196,0,0,202,,,,,,,,,,,,,,,,,,,,,,,
-121.91985,46.74174,0,0,203,,,,,,,,,,,,,,,,,,,,,,,
-121.91937,46.74153,0,0,204,,,,,,,,,,,,,,,,,,,,,,,
-121.91905,46.7414,0,0,205,,,,,,,,,,,,,,,,,,,,,,,
-121.91876,46.7413,0,0,206,,,,,,,,,,,,,,,,,,,,,,,
-121.91851,46.74122,0,0,207,,,,,,,,,,,,,,,,,,,,,,,
-121.91805,46.74116,0,0,208,,,,,,,,,,,,,,,,,,,,,,,
-121.91748,46.74109,0,0,209,,,,,,,,,,,,,,,,,,,,,,,
-121.91748,46.74109,0,0,210,,,,,,,,,,,,,,,,,,,,,,,
-121.91678,46.74102,0,0,211,,,,,,,,,,,,,,,,,,,,,,,
-121.91542,46.7408,0,0,212,,,,,,,,,,,,,,,,,,,,,,,
-121.91542,46.7408,0,0,213,,,,,,,,,,,,,,,,,,,,,,,
-121.91485,46.74069,0,0,214,,,,,,,,,,,,,,,,,,,,,,,
-121.91456,46.74056,0,0,215,,,,,,,,,,,,,,,,,,,,,,,
